"Address","Value_1","Hex_1","Value_2","Hex_2","Value_3","Hex_3",,65535,,
353,0,"0x0000",0,"0x0000",0,"0x0000",,,,
354,0,"0x0000",0,"0x0000",0,"0x0000",,,,
355,0,"0x0000",0,"0x0000",0,"0x0000",,,,
356,0,"0x0000",0,"0x0000",0,"0x0000",,,,
357,0,"0x0000",0,"0x0000",0,"0x0000",,,,
358,0,"0x0000",0,"0x0000",0,"0x0000",,,,
359,0,"0x0000",0,"0x0000",0,"0x0000",,,,
360,0,"0x0000",0,"0x0000",0,"0x0000",,,,
361,0,"0x0000",0,"0x0000",0,"0x0000",,,,
362,0,"0x0000",0,"0x0000",0,"0x0000",,,,
363,0,"0x0000",0,"0x0000",0,"0x0000",,,,
364,0,"0x0000",0,"0x0000",0,"0x0000",,,,
365,0,"0x0000",0,"0x0000",0,"0x0000",,,,
366,0,"0x0000",0,"0x0000",0,"0x0000",,,,
367,0,"0x0000",0,"0x0000",0,"0x0000",,,,
368,0,"0x0000",0,"0x0000",0,"0x0000",,,,
369,0,"0x0000",0,"0x0000",0,"0x0000",,,,
370,0,"0x0000",0,"0x0000",0,"0x0000",,,,
371,0,"0x0000",0,"0x0000",0,"0x0000",,,,
372,0,"0x0000",0,"0x0000",0,"0x0000",,,,
373,0,"0x0000",0,"0x0000",0,"0x0000",,,,
374,0,"0x0000",0,"0x0000",0,"0x0000",,,,
375,144,"0x0090",144,"0x0090",144,"0x0090","Batt const volt charg",,,
376,142,"0x008E",142,"0x008E",142,"0x008E","batt float volt charg",,,
377,500,"0x01F4",500,"0x01F4",500,"0x01F4","batt charge curr",,,
378,500,"0x01F4",500,"0x01F4",500,"0x01F4",,,,
379,0,"0x0000",0,"0x0000",0,"0x0000",,,,
380,0,"0x0000",0,"0x0000",0,"0x0000",,,,
381,0,"0x0000",0,"0x0000",0,"0x0000",,,,
382,146,"0x0092",146,"0x0092",146,"0x0092","bat equalized voltage point",,,
383,0,"0x0000",0,"0x0000",0,"0x0000",,,,
384,7200,"0x1C20",7200,"0x1C20",7200,"0x1C20",,,,
385,720,"0x02D0",720,"0x02D0",720,"0x02D0",,,,
386,0,"0x0000",0,"0x0000",0,"0x0000",,,,
387,0,"0x0000",0,"0x0000",0,"0x0000",,,,
388,0,"0x0000",0,"0x0000",0,"0x0000",,,,
389,0,"0x0000",0,"0x0000",0,"0x0000",,,,
390,0,"0x0000",0,"0x0000",0,"0x0000",,,,
391,0,"0x0000",0,"0x0000",0,"0x0000",,,,
392,0,"0x0000",0,"0x0000",0,"0x0000",,,,
393,0,"0x0000",0,"0x0000",0,"0x0000",,,,
394,0,"0x0000",0,"0x0000",0,"0x0000",,,,
395,0,"0x0000",0,"0x0000",0,"0x0000",,,,
396,0,"0x0000",0,"0x0000",0,"0x0000",,,,
397,0,"0x0000",0,"0x0000",0,"0x0000",,,,
398,0,"0x0000",0,"0x0000",0,"0x0000",,,,
399,0,"0x0000",0,"0x0000",0,"0x0000",,,,
400,0,"0x0000",0,"0x0000",0,"0x0000",,,,
401,0,"0x0000",0,"0x0000",0,"0x0000",,,,
402,16464,"0x4050",16464,"0x4050",16464,"0x4050",,,,
403,0,"0x0000",0,"0x0000",0,"0x0000",,,,
404,0,"0x0000",0,"0x0000",0,"0x0000",,,,
405,0,"0x0000",0,"0x0000",0,"0x0000",,,,
406,0,"0x0000",0,"0x0000",0,"0x0000",,,,
407,0,"0x0000",0,"0x0000",0,"0x0000",,,,
408,0,"0x0000",0,"0x0000",0,"0x0000",,,,
409,0,"0x0000",0,"0x0000",0,"0x0000",,,,
440,0,"0x0000",0,"0x0000",0,"0x0000",,,,
441,0,"0x0000",0,"0x0000",0,"0x0000",,,,
442,0,"0x0000",0,"0x0000",0,"0x0000",,,,
443,0,"0x0000",0,"0x0000",0,"0x0000",,,,
444,0,"0x0000",0,"0x0000",0,"0x0000",,,,
445,0,"0x0000",0,"0x0000",0,"0x0000",,,,
446,0,"0x0000",0,"0x0000",0,"0x0000",,,,
447,0,"0x0000",0,"0x0000",0,"0x0000",,,,
448,30,"0x001E",31,"0x001F",32,"0x0020",,,,
449,0,"0x0000",0,"0x0000",0,"0x0000",,,,
450,278,"0x0116",279,"0x0117",280,"0x0118",,,,
451,0,"0x0000",0,"0x0000",0,"0x0000",,,,
452,278,"0x0116",279,"0x0117",280,"0x0118",,,,
453,0,"0x0000",0,"0x0000",0,"0x0000",,,,
454,6974,"0x1B3E",6975,"0x1B3F",6976,"0x1B40",,,,
455,0,"0x0000",0,"0x0000",0,"0x0000",,,,
456,0,"0x0000",0,"0x0000",0,"0x0000",,,,
457,0,"0x0000",0,"0x0000",0,"0x0000",,,,
458,0,"0x0000",0,"0x0000",0,"0x0000",,,,
459,0,"0x0000",0,"0x0000",0,"0x0000",,,,
460,0,"0x0000",0,"0x0000",0,"0x0000",,,,
461,0,"0x0000",0,"0x0000",0,"0x0000",,,,
462,0,"0x0000",0,"0x0000",0,"0x0000",,,,
463,0,"0x0000",0,"0x0000",0,"0x0000",,,,
464,0,"0x0000",0,"0x0000",0,"0x0000",,,,
465,0,"0x0000",0,"0x0000",0,"0x0000",,,,
466,0,"0x0000",0,"0x0000",0,"0x0000",,,,
467,0,"0x0000",0,"0x0000",0,"0x0000",,,,
468,0,"0x0000",0,"0x0000",0,"0x0000",,,,
469,0,"0x0000",0,"0x0000",0,"0x0000",,,,
470,0,"0x0000",0,"0x0000",0,"0x0000",,,,
471,0,"0x0000",0,"0x0000",0,"0x0000",,,,
472,0,"0x0000",0,"0x0000",0,"0x0000",,,,
473,0,"0x0000",0,"0x0000",0,"0x0000",,,,
474,0,"0x0000",0,"0x0000",0,"0x0000",,,,
475,0,"0x0000",0,"0x0000",0,"0x0000",,,,
476,0,"0x0000",0,"0x0000",0,"0x0000",,,,
477,0,"0x0000",0,"0x0000",0,"0x0000",,,,
478,0,"0x0000",0,"0x0000",0,"0x0000",,,,
479,0,"0x0000",0,"0x0000",0,"0x0000",,,,
480,0,"0x0000",0,"0x0000",0,"0x0000",,,,
481,0,"0x0000",0,"0x0000",0,"0x0000",,,,
482,0,"0x0000",0,"0x0000",0,"0x0000",,,,
